[2026-07-24T16:01:56.830Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_client_components_builtin_global-error_0mqtr_1.js → 200 (92ms, 212B)
[2026-07-24T16:01:56.869Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (57ms, 15615B)
[2026-07-24T16:01:56.869Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0zwrxt4._.js → 200 (57ms, 289B)
[2026-07-24T16:02:12.905Z] POST http://127.0.0.1:54321/auth/v1/token?grant_type=password → 500 (32ms, 72B)
[2026-07-24T16:02:30.979Z] GET http://localhost:3000/professionals/alleyne-ac → 200 (174ms, 88161B)
[2026-07-24T16:02:31.158Z] GET http://localhost:3000/_next/static/media/017d9bea37084d9b-s.p.41rroleoq1br7.woff2 → 200 (?ms, ?B)
[2026-07-24T16:02:31.158Z] GET http://localhost:3000/_next/static/media/70bc3e132a0a741e-s.p.3t6q91iet4nsy.woff2 → 200 (1ms, ?B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/media/c47649aa31f9e140-s.p.3lxpqujs87tck.woff2 → 200 (?ms, ?B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__1alx9cd._.css → 200 (2ms, 112807B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1c05dl4._.js → 200 (3ms, 675B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_react-dom_0tqwgx_._.js → 200 (18ms, 1058623B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_next-devtools_index_0n5c3vp.js → 200 (53ms, 746614B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_react-server-dom-turbopack_0hkxcnq._.js → 200 (14ms, 174965B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_compiled_0jmj0i9._.js → 200 (15ms, 168197B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_shared_lib_0mgk4wr._.js → 200 (15ms, 299873B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_client_00zdfuj._.js → 200 (21ms, 817602B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_dist_0p-gtpw._.js → 200 (15ms, 195924B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_next_router_0jdwzlz.js → 200 (14ms, 484B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_posthog-js_dist_module_0_i34dt.js → 200 (39ms, 363388B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_core_build_esm_1pnuaj5._.js → 200 (40ms, 687554B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_conventions_dist_attributes_mjs_0j0ufne._.js → 200 (52ms, 520102B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_browser_build_npm_esm_dev_1779_6a._.js → 200 (20ms, 246636B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_%40sentry_browser-utils_build_esm_1rsyhbn._.js → 200 (21ms, 239376B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/093g_1j1vlvg._.js → 200 (19ms, 105812B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_instrumentation-client_ts_0h8wagc._.js → 200 (20ms, 5841B)
[2026-07-24T16:02:31.160Z] GET http://localhost:3000/_next/static/chunks/Dev_Tradelynq_Tradelynq-V2_1anvha4._.js → 200 (31ms, 1184B)
